Year,Date,Kufar,TokMedia ,Other,Total
2025,01/31/2025,0.00,3133.65,0.00,3133.65
2025,02/28/2025,0.00,3168.75,0.00,3168.75
2025,3/31/2025,0.00,3876.56,0.00,3876.56
2025,4/30/2025,0.00,3862.94,0.00,3862.94
2025,5/31/2025,0.00,3305.25,0.00,3305.25
2025,6/30/2025,1200.93,3644.13,0.00,4845.05
2025,7/31/2025,1566.51,3698.06,0.00,5264.57
2025,8/31/2025,1550.00,4936.56,0.00,6486.56
2025,9/30/2025,1639.12,3897.79,0.00,5536.91
2025,10/31/2025,1543.79,4054.64,0.00,5598.43
2025,11/30/2025,1592.05,4370.49,0.00,5962.54
2025,12/31/2025,2436.08,3789.51,0.00,6225.59
2026,1/31/2026,834.72,4571.42,50.00,5456.14
2026,2/28/2026,1624.87,4639.16,239.22,6503.25
